song_id,song_name,artist_name,genre
1,Bansuri Ko dhun mitho,Ashok Pandey,"Krishna Bhajan, nepali"
2,Bhaj Govindam,MS Subramanyam,"Moha Mudgar, sanskrit"
3,Brindaban Ma Late Vayo,Ashok Pandey,"Krishna Bhajan, nepali"
4,Darsan Kasari Pau,Bhakta Raj Acharya,"Bhajan Siromani, nepali"
5,Dukhai Dukha Milda Pani,Bhakta Raj Acharya,"Bhajan Siromani, nepali"
6,Ek Din Ta Jaane Ho,Sashan Kandel,"Moha Mudgar, nepali"
7,Gayatri Mantra,Anuradha Paudwal,"Mantra, sanskrit"
8,Hey Krishna Malai Mitho Bansi  ,Raju Adhikari,"Krishna Bhajan, nepali"
9,Jai Ful Ko Basana,Ashok Pandey,"Krishna Bhajan, nepali"
10,Kati Linchau Parichya,Bhakta Raj Acharya,"Bhajan Siromani, nepali"
11,Kati Ramro Tyo Brindabana,Hari Adhikari,"Krishna Bhajan, nepali"
12,Krishna Kale Naujale,Ashok Pandey,"Krishna Bhajan, nepali"
13,Maya Marnu Vo,Raju Adhikari,"Krishna Bhajan, nepali"
14,Mitho Bansi Sunaideu,Hari Adhikari,"Krishna Bhajan, nepali"
15,Om Namo Vagwatey,Nepali Bhajan,"Mantra, sanskrit"
16,Pancha Axhar Stotram,Dharma Das Budathoki,"Shiva Bhajan, sanskrit"
17,Pasupati Aarati,Dharma Das Budathoki,"Shiva Bhajan, nepali"
18,Radio Nepal Morning Bhajan,Nepali Bhajan,"Mantra, sanskrit"
19,Rahena xa mero,Bhakta Raj Acharya,"Bhajan Siromani, nepali"
20,Sansari Maya Bichitra,Ratna Bd Ghising,"Nepali Bhajan, nepali"
21,Shamba Sada Shiva,Fattaman Raj Bhandari,"Nepali Bhajan, nepali"
22,Shiv Bandhana,Dharma Das Budathoki,"Shiva Bhajan, nepali"
23,Shiv Tandav Stotram,Dharma Das Budathoki,"Shiva Bhajan, nepali"
