Song_ID,Song name,Artist,genre
1,Bansuri Ko dhun mitho,Ashok Pandey,Krishna Bhajan
2,Bhaj Govindam,MS Subramanyam,Moha Mudgar
3,Brindaban Ma Late Vayo,Ashok Pandey,Krishna Bhajan
4,Darsan Kasari Pau,Bhakta Raj Acharya,Bhajan Siromani
5,Dukhai Dukha Milda Pani,Bhakta Raj Acharya,Bhajan Siromani
6,Ek Din Ta Jaane Ho,Sashan Kandel,Moha Mudgar
7,Gayatri Mantra,Anuradha Paudwal,Mantra
8,Hey Krishna Malai Mitho Bansi  ,Raju Adhikari,Krishna Bhajan
9,Jai Ful Ko Basana,Ashok Pandey,Krishna Bhajan
10,Kati Linchau Parichya,Bhakta Raj Acharya,Bhajan Siromani
11,Kati Ramro Tyo Brindabana,Hari Adhikari,Krishna Bhajan
12,Krishna Kale Naujale,Ashok Pandey,Krishna Bhajan
13,Maya Marnu Vo,Raju Adhikari,Krishna Bhajan
14,Mitho Bansi Sunaideu,Hari Adhikari,Krishna Bhajan
15,Om Namo Vagwatey,Nepali Bhajan,Mantra
16,Pancha Axhar Stotram,Dharma Das Budathoki,Shiva Bhajan
17,Pasupati Aarati,Dharma Das Budathoki,Shiva Bhajan
18,Radio Nepal Morning Bhajan,Nepali Bhajan,Mantra
19,Rahena xa mero,Bhakta Raj Acharya,Bhajan Siromani
20,Sansari Maya Bichitra,Ratna Bd Ghising,Nepali Bhajan
21,Shamba Sada Shiva,Fattaman Raj Bhandari,Nepali Bhajan
22,Shiv Bandhana,Dharma Das Budathoki,Shiva Bhajan
23,Shiv Tandav Stotram,Dharma Das Budathoki,Shiva Bhajan
